State,County,State2,County_ID,Pres_1860_pcDem,Pres_1860_pcRep,Pres_1860_pcSouthDem,Pres_1860_pcConstUn,Pres_1860_pcOther,Pres_1860_TotVote,Pres_1860_pcTO,Cong_1860_pcDem,Cong_1860_pcRep,Cong_1860_pcDemEq,Cong_1860_pcRepEq,Cong_1860_pcOther,Cong_1860_TotVote,Cong_1860_pcTO,Cong_1862_pcDem,Cong_1862_pcRep,Cong_1862_pcDemEq,Cong_1862_pcRepEq,Cong_1862_pcOther,Cong_1862_TotVote,Cong_1862_pcTO,Pres_1864_pcDem,Pres_1864_pcRep,Pres_1864_pcOther,Pres_1864_TotVote,Pres_1864_pcTO,Cong_1864_pcDem,Cong_1864_pcRep,Cong_1864_pcDemEq,Cong_1864_pcRepEq,Cong_1864_pcOther,Cong_1864_TotVote,Cong_1864_pcTO
Alabama,Autauga,Alabama,10,0.312,0,0.485,0.203,0,1261,0.794,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
Alabama,Baldwin,Alabama,30,0.177,0,0.282,0.541,0,458,0.416,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Barbour,Alabama,50,0.004,0,0.724,0.272,0,2369,0.724,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Bibb,Alabama,70,0.115,0,0.454,0.431,0,1351,0.804,,,,,0.472,,,,,,,,,,,,,,,,,,,,,
Alabama,Blount,Alabama,90,0.426,0,0.525,0.049,0,1040,0.521,,,,,0.214,,,,,,,,,,,,,,,,,,,,,
Alabama,Butler,Alabama,130,0.053,0,0.435,0.512,0,2108,0.851,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Calhoun/Benton,Alabama,150,0.02,0,0.849,0.132,0,2765,0.768,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Chambers,Alabama,170,0.075,0,0.486,0.439,0,2093,0.845,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Cherokee,Alabama,190,0.091,0,0.695,0.215,0,2456,0.776,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Choctaw,Alabama,230,0.135,0,0.462,0.403,0,1172,0.763,,,,,0.217,,,,,,,,,,,,,,,,,,,,,
Alabama,Clarke,Alabama,250,0.06,0,0.741,0.199,0,1284,0.737,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Coffee,Alabama,310,0.002,0,0.689,0.309,0,1274,0.766,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Conecuh,Alabama,350,0.23,0,0.391,0.379,0,891,0.608,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Coosa,Alabama,370,0.34,0,0.375,0.285,0,2480,0.781,,,,,0.003,,,,,,,,,,,,,,,,,,,,,
Alabama,Covington,Alabama,390,0.014,0,0.486,0.5,0,832,0.733,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Dale,Alabama,450,0.003,0,0.819,0.177,0,1562,0.751,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Dallas,Alabama,470,0.189,0,0.465,0.346,0,1792,0.854,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,De Kalb,Alabama,490,0.161,0,0.676,0.163,0,1255,0.662,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Fayette,Alabama,570,0.022,0,0.766,0.212,0,1695,0.728,,,,,0.304,,,,,,,,,,,,,,,,,,,,,
Alabama,Franklin,Alabama,590,0.221,0,0.434,0.344,0,2077,0.93,,,,,0.519,,,,,,,,,,,,,,,,,,,,,
Alabama,Greene,Alabama,630,0.097,0,0.43,0.473,0,1618,0.837,,,,,0.205,,,,,,,,,,,,,,,,,,,,,
Alabama,Henry,Alabama,670,0,0,0.778,0.222,0,1426,0.644,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Jackson,Alabama,710,0.23,0,0.717,0.053,0,2455,0.767,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Jefferson,Alabama,730,0.068,0,0.72,0.212,0,1154,0.637,,,,,0.798,,,,,,,,,,,,,,,,,,,,,
Alabama,Lauderdale,Alabama,770,0.407,0,0.364,0.229,0,1940,0.849,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Lawrence,Alabama,790,0.392,0,0.252,0.357,0,1471,0.921,,,,,0.817,,,,,,,,,,,,,,,,,,,,,
Alabama,Limestone,Alabama,830,0.267,0,0.43,0.303,0,1215,0.764,,,,,0.696,,,,,,,,,,,,,,,,,,,,,
Alabama,Lowndes,Alabama,850,0.034,0,0.608,0.357,0,1656,0.816,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Macon,Alabama,870,0.019,0,0.485,0.496,0,2440,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Madison,Alabama,890,0.567,0,0.258,0.175,0,2291,0.813,,,,,0.704,,,,,,,,,,,,,,,,,,,,,
Alabama,Marengo,Alabama,910,0.048,0,0.591,0.361,0,1418,0.838,,,,,0.259,,,,,,,,,,,,,,,,,,,,,
Alabama,Marion,Alabama,930,0.05,0,0.792,0.158,0,1245,0.65,,,,,0.379,,,,,,,,,,,,,,,,,,,,,
Alabama,Marshall,Alabama,950,0.557,0,0.322,0.121,0,1369,0.674,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Mobile,Alabama,970,0.365,0,0.309,0.326,0,4993,0.54,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Monroe,Alabama,990,0.185,0,0.442,0.373,0,1199,0.775,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Montgomery,Alabama,1010,0.049,0,0.571,0.38,0,2722,0.845,,,,,0.002,,,,,,,,,,,,,,,,,,,,,
Alabama,Morgan/Cotaco,Alabama,1030,0.44,0,0.443,0.116,0,1238,0.769,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Perry,Alabama,1050,0.053,0,0.524,0.423,0,1874,0.848,,,,,0.415,,,,,,,,,,,,,,,,,,,,,
Alabama,Pickens,Alabama,1070,0.009,0,0.656,0.335,0,1846,0.792,,,,,0.231,,,,,,,,,,,,,,,,,,,,,
Alabama,Pike,Alabama,1090,0.029,0,0.547,0.424,0,2892,0.87,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Randolph,Alabama,1110,0.131,0,0.663,0.205,0,2614,0.737,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Russell,Alabama,1130,0.028,0,0.523,0.449,0,1900,0.792,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Shelby,Alabama,1170,0.116,0,0.53,0.354,0,1609,0.846,,,,,0.009,,,,,,,,,,,,,,,,,,,,,
Alabama,St Clair,Alabama,1150,0.174,0,0.699,0.126,0,1377,0.726,,,,,0.001,,,,,,,,,,,,,,,,,,,,,
Alabama,Sumter,Alabama,1190,0.105,0,0.528,0.366,0,1291,0.864,,,,,0.132,,,,,,,,,,,,,,,,,,,,,
Alabama,Talladega,Alabama,1210,0.03,0,0.529,0.441,0,2472,0.792,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Tallapoosa,Alabama,1230,0.099,0,0.481,0.421,0,3019,0.849,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,Tuscaloosa,Alabama,1250,0.01,0,0.538,0.452,0,2265,0.773,,,,,0.471,,,,,,,,,,,,,,,,,,,,,
Alabama,Walker,Alabama,1270,0.356,0,0.523,0.121,0,852,0.596,,,,,0.691,,,,,,,,,,,,,,,,,,,,,
Alabama,Washington,Alabama,1290,0.068,0,0.496,0.437,0,355,0.735,,,,,0,,,,,,,,,,,,,,,,,,,,,
Alabama,Wilcox,Alabama,1310,0.087,0,0.64,0.273,0,1301,0.797,,,,,0.004,,,,,,,,,,,,,,,,,,,,,
Alabama,Winston/Hancock,Alabama,1330,0.377,0,0.521,0.103,0,390,0.542,,,,,0.344,,,,,,,,,,,,,,,,,,,,,
Arkansas,Arkansas,Arkansas,10,0.061,0,0.474,0.464,0,898,0.842,0.37,0,0,0,0.63,772,0.724,,,,,,,,,,,,,,,,,,,
Arkansas,Ashley,Arkansas,30,0.013,0,0.581,0.406,0,1039,0.887,0.538,0,0,0,0.462,864,0.738,,,,,,,,,,,,,,,,,,,
Arkansas,Benton,Arkansas,70,0.197,0,0.547,0.256,0,1283,0.712,0.676,0,0,0,0.324,1520,0.844,,,,,,,,,,,,,,,,,,,
Arkansas,Bradley,Arkansas,110,0.032,0,0.571,0.397,0,1109,0.868,0.383,0,0,0,0.617,1163,0.911,,,,,,,,,,,,,,,,,,,
Arkansas,Calhoun,Arkansas,130,0.044,0,0.632,0.324,0,630,0.91,0.551,0,0,0,0.449,564,0.815,,,,,,,,,,,,,,,,,,,
Arkansas,Carroll,Arkansas,150,0.022,0,0.668,0.311,0,1185,0.672,0.875,0,0,0,0.125,1364,0.773,,,,,,,,,,,,,,,,,,,
Arkansas,Chicot,Arkansas,170,0.055,0,0.451,0.494,0,512,0.823,0.579,0,0,0,0.421,423,0.68,,,,,,,,,,,,,,,,,,,
Arkansas,Clark,Arkansas,190,0.024,0,0.602,0.374,0,1336,0.791,0.433,0,0,0,0.567,1504,0.891,,,,,,,,,,,,,,,,,,,
Arkansas,Columbia,Arkansas,270,0.082,0,0.496,0.423,0,1693,0.864,0.306,0,0,0,0.694,1701,0.868,,,,,,,,,,,,,,,,,,,
Arkansas,Conway,Arkansas,290,0.056,0,0.592,0.352,0,927,0.7,0.676,0,0,0,0.324,1121,0.847,,,,,,,,,,,,,,,,,,,
Arkansas,Craighead,Arkansas,310,0.038,0,0.6,0.363,0,532,0.798,0.755,0,0,0,0.245,636,0.954,,,,,,,,,,,,,,,,,,,
Arkansas,Crawford,Arkansas,330,0.366,0,0.25,0.384,0,975,0.664,0.834,0,0,0,0.166,1161,0.791,,,,,,,,,,,,,,,,,,,
Arkansas,Crittenden,Arkansas,350,0.334,0,0.17,0.496,0,518,0.587,0.597,0,0,0,0.403,633,0.718,,,,,,,,,,,,,,,,,,,
Arkansas,Dallas,Arkansas,390,0.059,0,0.546,0.395,0,939,0.847,0.468,0,0,0,0.532,935,0.844,,,,,,,,,,,,,,,,,,,
Arkansas,Desha,Arkansas,410,0.161,0,0.402,0.437,0,714,0.844,0.42,0,0,0,0.58,662,0.783,,,,,,,,,,,,,,,,,,,
Arkansas,Drew,Arkansas,430,0.059,0,0.545,0.395,0,1416,1.046,0.363,0,0,0,0.637,1270,0.938,,,,,,,,,,,,,,,,,,,
Arkansas,Franklin,Arkansas,470,0.044,0,0.671,0.285,0,993,0.74,0.814,0,0,0,0.186,1056,0.787,,,,,,,,,,,,,,,,,,,
Arkansas,Fulton,Arkansas,490,0.162,0,0.728,0.11,0,346,0.42,0.851,0,0,0,0.149,606,0.736,,,,,,,,,,,,,,,,,,,
Arkansas,Greene,Arkansas,550,0.11,0,0.752,0.138,0,436,0.372,0.864,0,0,0,0.136,936,0.799,,,,,,,,,,,,,,,,,,,
Arkansas,Hempstead,Arkansas,570,0.126,0,0.463,0.41,0,1645,0.812,0.556,0,0,0,0.444,1733,0.855,,,,,,,,,,,,,,,,,,,
Arkansas,Hot Spring,Arkansas,590,0.061,0,0.615,0.323,0,733,0.675,0.58,0,0,0,0.42,908,0.836,,,,,,,,,,,,,,,,,,,
Arkansas,Independence,Arkansas,630,0.148,0,0.381,0.471,0,1896,0.682,0.478,0,0,0,0.522,1913,0.688,,,,,,,,,,,,,,,,,,,
Arkansas,Izard,Arkansas,650,0.139,0,0.568,0.294,0,923,0.658,0.519,0,0,0,0.481,1062,0.757,,,,,,,,,,,,,,,,,,,
Arkansas,Jackson,Arkansas,670,0.034,0,0.496,0.47,0,1537,0.757,0.667,0,0,0,0.333,1517,0.747,,,,,,,,,,,,,,,,,,,
Arkansas,Jefferson,Arkansas,690,0.259,0,0.389,0.352,0,1706,0.891,0.389,0,0,0,0.611,1615,0.844,,,,,,,,,,,,,,,,,,,
Arkansas,Johnson,Arkansas,710,0.014,0,0.777,0.209,0,1004,0.743,0.882,0,0,0,0.118,1152,0.852,,,,,,,,,,,,,,,,,,,
Arkansas,Lafayette,Arkansas,730,0.014,0,0.618,0.368,0,787,0.769,0.406,0,0,0,0.594,800,0.782,,,,,,,,,,,,,,,,,,,
Arkansas,Lawrence,Arkansas,750,0.062,0,0.615,0.322,0,1472,0.801,0.544,0,0,0,0.456,1597,0.869,,,,,,,,,,,,,,,,,,,
Arkansas,Madison,Arkansas,870,0.082,0,0.716,0.201,0,874,0.607,0.83,0,0,0,0.17,1151,0.799,,,,,,,,,,,,,,,,,,,
Arkansas,Marion,Arkansas,890,0.078,0,0.64,0.282,0,823,0.663,0.789,0,0,0,0.211,930,0.749,,,,,,,,,,,,,,,,,,,
Arkansas,Mississippi,Arkansas,930,0.258,0,0.238,0.504,0,349,0.603,0.557,0,0,0,0.443,406,0.701,,,,,,,,,,,,,,,,,,,
Arkansas,Monroe,Arkansas,950,0.078,0,0.473,0.449,0,637,0.726,0.478,0,0,0,0.522,696,0.794,,,,,,,,,,,,,,,,,,,
Arkansas,Montgomery,Arkansas,970,0.009,0,0.849,0.142,0,424,0.61,0.361,0,0,0,0.639,615,0.885,,,,,,,,,,,,,,,,,,,
Arkansas,Newton,Arkansas,1010,0.047,0,0.786,0.167,0,401,0.632,0.881,0,0,0,0.119,544,0.858,,,,,,,,,,,,,,,,,,,
Arkansas,Ouachita,Arkansas,1030,0.046,0,0.519,0.435,0,1790,0.838,0.52,0,0,0,0.48,1507,0.706,,,,,,,,,,,,,,,,,,,
Arkansas,Perry,Arkansas,1050,0.178,0,0.53,0.292,0,281,0.587,0.607,0,0,0,0.393,387,0.808,,,,,,,,,,,,,,,,,,,
Arkansas,Phillips,Arkansas,1070,0.048,0,0.481,0.471,0,1287,0.726,0.412,0,0,0,0.588,1314,0.742,,,,,,,,,,,,,,,,,,,
Arkansas,Pike,Arkansas,1090,0.182,0,0.697,0.121,0,422,0.559,0.367,0,0,0,0.633,664,0.879,,,,,,,,,,,,,,,,,,,
Arkansas,Poinsett,Arkansas,1110,0.13,0,0.62,0.25,0,408,0.699,0.823,0,0,0,0.177,462,0.791,,,,,,,,,,,,,,,,,,,
Arkansas,Polk,Arkansas,1130,0.096,0,0.867,0.038,0,293,0.35,0.349,0,0,0,0.651,650,0.777,,,,,,,,,,,,,,,,,,,
Arkansas,Pope,Arkansas,1150,0.011,0,0.619,0.37,0,1071,0.743,0.667,0,0,0,0.333,1070,0.742,,,,,,,,,,,,,,,,,,,
Arkansas,Prairie,Arkansas,1170,0.079,0,0.468,0.453,0,1437,0.927,0.319,0,0,0,0.681,1338,0.863,,,,,,,,,,,,,,,,,,,
Arkansas,Pulaski,Arkansas,1190,0.091,0,0.433,0.476,0,1890,0.784,0.544,0,0,0,0.456,1495,0.62,,,,,,,,,,,,,,,,,,,
Arkansas,Randolph,Arkansas,1210,,,,,,,,0.838,,,,0.162,967,0.739,,,,,,,,,,,,,,,,,,,
Arkansas,Saline,Arkansas,1250,0.051,0,0.591,0.358,0,941,0.753,0.51,0,0,0,0.49,1158,0.927,,,,,,,,,,,,,,,,,,,
Arkansas,Scott,Arkansas,1270,0.123,0,0.61,0.267,0,595,0.592,0.265,0,0,0,0.735,859,0.855,,,,,,,,,,,,,,,,,,,
Arkansas,Searcy,Arkansas,1290,0.198,0,0.468,0.334,0,590,0.609,0.501,0,0,0,0.499,735,0.759,,,,,,,,,,,,,,,,,,,
Arkansas,Sebastian,Arkansas,1310,0.222,0,0.4,0.378,0,1438,0.711,0.325,0,0,0,0.675,1663,0.822,,,,,,,,,,,,,,,,,,,
Arkansas,Sevier,Arkansas,1330,0.087,0,0.618,0.296,0,1221,0.751,0.424,0,0,0,0.576,1390,0.855,,,,,,,,,,,,,,,,,,,
Arkansas,St Francis,Arkansas,1230,0.253,0,0.374,0.373,0,1111,0.72,0.45,0,0,0,0.55,1303,0.844,,,,,,,,,,,,,,,,,,,
Arkansas,Union,Arkansas,1390,0.052,0,0.505,0.443,0,1498,1.03,0.455,0,0,0,0.545,1243,0.855,,,,,,,,,,,,,,,,,,,
Arkansas,Van Buren,Arkansas,1410,0.064,0,0.628,0.309,0,803,0.727,0.735,0,0,0,0.265,860,0.779,,,,,,,,,,,,,,,,,,,
Arkansas,Washington,Arkansas,1430,0.113,0,0.477,0.409,0,2153,0.792,0.708,0,0,0,0.292,2268,0.835,,,,,,,,,,,,,,,,,,,
Arkansas,White,Arkansas,1450,0.106,0,0.455,0.44,0,1324,0.824,0.455,0,0,0,0.545,1466,0.912,,,,,,,,,,,,,,,,,,,
Arkansas,Yell,Arkansas,1490,0.072,0,0.588,0.341,0,907,0.743,0.667,0,0,0,0.333,997,0.817,,,,,,,,,,,,,,,,,,,
California,Alameda,California,10,0.246,0.494,0.231,0.03,0,2091,,0,0.653,0.347,0,0,2650,,0.354,0.646,0,0,0,2208,,0.356,0.644,0,2278,,0.353,0.647,0,0,0,2255,
California,Alpine,California,30,,,,,,,,,,,,,,,,,,,,,,0.373,0.627,0,612,,0.369,0.631,0,0,0,607,
California,Amador,California,50,0.468,0.25,0.237,0.045,0,3984,,0,0.262,0.522,0,0.215,4042,,0.475,0.525,0,0,0,4301,,0.463,0.537,0,2591,,0.463,0.537,0,0,0,2590,
California,Butte,California,70,0.339,0.324,0.264,0.074,0,4436,,0,0.272,0.397,0,0.331,5723,,0.439,0.561,0,0,0,3364,,0.391,0.609,0,2855,,0.394,0.606,0,0,0,2819,
California,Calaveras,California,90,0.39,0.204,0.357,0.05,0,4814,,0,0.224,0.482,0,0.294,6929,,0.467,0.533,0,0,0,4283,,0.43,0.57,0,3633,,0.432,0.568,0,0,0,3621,
California,Colusa,California,110,0.247,0.271,0.405,0.077,0,952,,0,0.23,0.437,0,0.334,1385,,0.537,0.463,0,0,0,1038,,0.608,0.392,0,699,,0.605,0.395,0,0,0,696,
California,Contra Costa,California,130,0.268,0.394,0.252,0.087,0,1550,,0,0.276,0.224,0,0.501,3135,,0.333,0.667,0,0,0,1595,,0.354,0.646,0,1479,,0.353,0.647,0,0,0,1480,
California,Del Norte,California,150,0.17,0.336,0.419,0.075,0,518,,0,0.295,0.57,0,0.135,577,,0.451,0.549,0,0,0,335,,0.454,0.546,0,306,,0.458,0.542,0,0,0,306,
California,El Dorado,California,170,0.382,0.301,0.269,0.047,0,7045,,0,0.206,0.288,0,0.506,11958,,0.396,0.604,0,0,0,5328,,0.418,0.582,0,5066,,0.419,0.581,0,0,0,5052,
California,Fresno,California,190,0.047,0.113,0.579,0.262,0,470,,0,0.06,0.524,0,0.416,904,,0.82,0.18,0,0,0,462,,0.796,0.204,0,451,,0.8,0.2,0,0,0,449,
California,Humboldt,California,230,0.432,0.324,0.225,0.019,0,1031,,0,0.2,0.298,0,0.502,1810,,0.27,0.73,0,0,0,698,,0.382,0.618,0,685,,0.379,0.621,0,0,0,665,
California,Klamath,California,315,0.564,0.138,0.244,0.054,0,668,,0,0.136,0.435,0,0.429,1305,,0.493,0.507,0,0,0,401,,0.467,0.533,0,261,,0.48,0.52,0,0,0,256,
California,Lake,California,330,,,,,,,,0,0.157,0.449,0,0.393,572,,,,,,,,,0.655,0.345,0,618,,0.653,0.347,0,0,0,606,
California,Lassen,California,350,,,,,,,,,,,,,,,,,,,,,,0.426,0.574,0,554,,0.419,0.581,0,0,0,556,
California,Los Angeles,California,370,0.282,0.203,0.401,0.115,0,1754,,0,0.108,0.437,0,0.455,3864,,0.571,0.429,0,0,0,1714,,0.573,0.427,0,1299,,0.575,0.425,0,0,0,1292,
California,Marin,California,410,0.278,0.402,0.282,0.037,0,1014,,0,0.344,0.331,0,0.325,1666,,0.437,0.563,0,0,0,1125,,0.375,0.625,0,1096,,0.373,0.627,0,0,0,1092,
California,Mariposa,California,430,0.26,0.139,0.433,0.169,0,1884,,0,0.133,0.448,0,0.418,3166,,0.521,0.479,0,0,0,1754,,0.523,0.477,0,1609,,0.525,0.475,0,0,0,1608,
California,Mendocino,California,450,0.222,0.187,0.471,0.11,0.01,1058,,0,0.272,0.478,0,0.249,1716,,0.463,0.537,0,0,0,1194,,0.575,0.425,0,1354,,0.582,0.418,0,0,0,1331,
California,Merced,California,470,0.133,0.107,0.596,0.164,0,391,,0,0.055,0.487,0,0.457,921,,0.771,0.229,0,0,0,423,,0.752,0.248,0,290,,0.751,0.249,0,0,0,293,
California,Mono,California,510,,,,,,,,0,0.207,0.436,0,0.357,1580,,0.399,0.601,0,0,0,1736,,0.452,0.548,0,305,,0.449,0.551,0,0,0,301,
California,Monterey,California,530,0.296,0.388,0.306,0.006,0.004,791,,0,0.251,0.258,0,0.492,1994,,0.49,0.509,0,0,0.001,1033,,0.467,0.533,0,779,,0.467,0.533,0,0,0,778,
California,Napa,California,550,0.292,0.248,0.38,0.08,0,1773,,0,0.208,0.305,0,0.487,3227,,0.415,0.585,0,0,0,1553,,0.447,0.553,0,1327,,0.449,0.551,0,0,0,1314,
California,Nevada,California,570,0.34,0.365,0.237,0.058,0,6957,,0,0.368,0.415,0,0.218,8343,,0.37,0.63,0,0,0,4623,,0.392,0.608,0,4576,,0.392,0.608,0,0,0,4575,
California,Placer,California,610,0.319,0.299,0.249,0.133,0,5821,,0,0.266,0.306,0,0.428,7558,,0.428,0.572,0,0,0,3597,,0.391,0.609,0,3781,,0.387,0.613,0,0,0,3768,
California,Plumas,California,630,0.31,0.282,0.279,0.13,0,1625,,0,0.228,0.39,0,0.382,2839,,0.374,0.626,0,0,0,2040,,0.447,0.553,0,1496,,0.448,0.552,0,0,0,1491,
California,Sacramento,California,670,0.376,0.354,0.224,0.047,0,7541,,0,0.225,0.265,0,0.51,13428,,0.346,0.654,0,0,0,5474,,0.297,0.703,0,5946,,0.298,0.702,0,0,0,5943,
California,San Bernardino,California,710,0.273,0.374,0.233,0.12,0,820,,0,0.163,0.416,0,0.42,1713,,0.493,0.507,0,0,0,732,,0.669,0.331,0,737,,0.669,0.331,0,0,0,732,
California,San Diego,California,730,0.109,0.305,0.556,0.03,0,266,,0,0.235,0.526,0,0.239,355,,0.524,0.476,0,0,0,248,,0.67,0.33,0,294,,0.672,0.328,0,0,0,290,
California,San Francisco,California,750,0.281,0.475,0.178,0.066,0,14355,,0,0.355,0.135,0,0.509,29173,,0.356,0.644,0,0,0,14665,,0.398,0.602,0,20996,,0.398,0.602,0,0,0,20894,
California,San Joaquin,California,770,0.213,0.329,0.399,0.058,0,3435,,0,0.223,0.309,0,0.467,7854,,0.422,0.578,0,0,0,3447,,0.436,0.564,0,3275,,0.436,0.564,0,0,0,3251,
California,San Luis Obispo,California,790,0.284,0.351,0.365,0,0,422,,0,0.205,0.403,0,0.391,846,,0.431,0.569,0,0,0,477,,0.366,0.634,0,407,,0.369,0.631,0,0,0,401,
California,San Mateo,California,810,0.492,0.353,0.118,0.037,0,1102,,0,0.311,0.169,0,0.519,2184,,0.219,0.781,0,0,0,1180,,0.387,0.613,0,975,,0.382,0.618,0,0,0,966,
California,Santa Barbara,California,830,0.643,0.097,0.259,0,0,474,,0,0.125,0.368,0,0.507,906,,0.163,0.837,0,0,0,623,,0.191,0.809,0,423,,0.215,0.785,0,0,0,386,
California,Santa Clara,California,850,0.277,0.461,0.227,0.034,0,3176,,0,0.268,0.247,0,0.484,7091,,0.427,0.573,0,0,0,3551,,0.384,0.616,0,3133,,0.384,0.616,0,0,0,3131,
California,Santa Cruz,California,870,0.204,0.479,0.226,0.091,0,1404,,0,0.33,0.202,0,0.468,2669,,0.299,0.701,0,0,0,1303,,0.318,0.682,0,1423,,0.317,0.683,0,0,0,1428,
California,Shasta,California,890,0.457,0.194,0.244,0.105,0,2393,,0,0.121,0.367,0,0.511,4408,,0.394,0.606,0,0,0,1547,,0.382,0.618,0,1470,,0.384,0.616,0,0,0,1470,
California,Sierra,California,910,0.325,0.309,0.284,0.082,0,4746,,0,0.267,0.474,0,0.259,6106,,0.351,0.649,0,0,0,3669,,0.336,0.664,0,3087,,0.335,0.665,0,0,0,3086,
California,Siskiyou,California,930,0.403,0.256,0.203,0.139,0,3729,,0,0.228,0.388,0,0.384,4676,,0.486,0.514,0,0,0,2046,,0.509,0.491,0,1882,,0.508,0.492,0,0,0,1871,
California,Solano,California,950,0.259,0.293,0.322,0.126,0,2322,,0,0.264,0.255,0,0.481,4932,,0.395,0.605,0,0,0,2627,,0.42,0.58,0,2163,,0.419,0.581,0,0,0,2143,
California,Soldier Vote,California,9999,,,,,,,,,,,,,,,0.025,0.975,0,0,0,4271,,0.083,0.917,0,2833,,0.072,0.928,0,0,0,3673,
California,Sonoma,California,970,0.163,0.328,0.389,0.12,0,3764,,0,0.205,0.331,0,0.464,7481,,0.504,0.496,0,0,0,3406,,0.536,0.464,0,4362,,0.538,0.462,0,0,0,4342,
California,Stanislaus,California,990,0.258,0.186,0.482,0.075,0,899,,0,0.124,0.402,0,0.474,1811,,0.534,0.466,0,0,0,746,,0.555,0.445,0,623,,0.556,0.444,0,0,0,621,
California,Sutter,California,1010,0.332,0.305,0.332,0.031,0,1324,,0,0.199,0.387,0,0.413,2716,,0.484,0.516,0,0,0,1391,,0.463,0.537,0,1260,,0.465,0.535,0,0,0,1255,
California,Tehama,California,1030,0.392,0.193,0.242,0.173,0,1264,,0,0.136,0.372,0,0.492,2552,,0.452,0.548,0,0,0,984,,0.431,0.569,0,844,,0.428,0.572,0,0,0,843,
California,Trinity,California,1050,0.412,0.276,0.24,0.071,0,2147,,0,0.218,0.409,0,0.373,3396,,0.427,0.573,0,0,0,1384,,0.414,0.586,0,1113,,0.414,0.586,0,0,0,1109,
California,Tulare,California,1070,0.159,0.099,0.433,0.309,0,1324,,0,0.065,0.507,0,0.428,2211,,0.539,0.461,0,0,0,1323,,0.547,0.453,0,1164,,,,0,0,0,,
California,Tuolumne,California,1090,0.271,0.295,0.367,0.067,0,5541,,0,0.273,0.486,0,0.241,6249,,0.502,0.498,0,0,0,3670,,0.497,0.503,0,3152,,0.495,0.505,0,0,0,3129,
California,Yolo,California,1130,0.284,0.315,0.357,0.043,0,1696,,0,0.213,0.361,0,0.426,3272,,0.468,0.532,0,0,0,1631,,0.422,0.578,0,1126,,0.422,0.578,0,0,0,1126,
California,Yuba,California,1150,0.269,0.329,0.371,0.031,0,5056,,0,0.218,0.292,0,0.489,8726,,0.4,0.6,0,0,0,3363,,0.417,0.583,0,3202,,0.416,0.584,0,0,0,3193,
Connecticut,Fairfield,Connecticut,10,0.109,0.672,0.194,0.024,0,10454,0.508,0.526,0.474,0,0,0,14064,0.667,0.508,0.492,0,0,0,13098,0.592,0.494,0.506,0,14561,0.644,0.437,0.563,0,0,0,12196,0.528
Connecticut,Hartford,Connecticut,30,0.215,0.561,0.204,0.02,0,15156,0.593,0.509,0.491,0,0,0,16782,0.642,0.5,0.5,0,0,0,16379,0.6,0.5,0.5,0,17373,0.623,0.437,0.563,0,0,0,14585,0.512
Connecticut,Litchfield,Connecticut,50,0.212,0.59,0.192,0.005,0,8150,0.617,0.464,0.536,0,0,0,9343,0.704,0.469,0.531,0,0,0,9042,0.675,0.47,0.53,0,9401,0.699,0.436,0.564,0,0,0,8663,0.641
Connecticut,Middlesex,Connecticut,70,0.214,0.524,0.242,0.02,0,5510,0.645,0.524,0.476,0,0,0,6263,0.727,0.501,0.499,0,0,0,5751,0.656,0.5,0.5,0,6220,0.703,0.431,0.569,0,0,0,5281,0.591
Connecticut,New Haven,Connecticut,90,0.177,0.524,0.264,0.035,0,16540,0.606,0.522,0.478,0,0,0,17623,0.625,0.531,0.469,0,0,0,16119,0.537,0.524,0.476,0,18399,0.595,0.468,0.532,0,0,0,15476,0.487
